Time	Carb1	Carb2	Carb3	Carb4	Carb5	Carb6	Carb7	Carb8	Carb9	Carb10	Carb11	Carb12	Carb13	Carb14	Carb15	Sil1	Sil2	Sil3	Sil4	Sil5	Sil6	Sil7	Sil8	Sil9	Sil10	Sil11	Sil12	Sil13	Sil14	Sil15	c131	c132	c133	c134	c135	c136	c137	c138	c139	c1310	c1311	c1312	c1313	c1314	c1315	
0	6.8679e+17	2.79524e+17	1.22321e+17	7.73932e+16	1.54786e+17	2.3218e+17	3.09573e+17	3.86966e+17	4.64359e+17	5.41753e+17	6.19146e+17	6.96539e+17	7.5909e+17	2.85587e+17	5.49164e+15	5.6223e+15	5.13779e+15	2.24831e+15	1.42252e+15	2.84505e+15	4.26757e+15	5.69009e+15	7.11261e+15	8.53514e+15	9.95766e+15	1.13802e+16	1.28027e+16	2.32723e+16	2.63861e+17	2.89924e+17	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	
250.587	6.86548e+17	2.79491e+17	1.22306e+17	7.73841e+16	1.54768e+17	2.32152e+17	3.09536e+17	3.8692e+17	4.64304e+17	5.41689e+17	6.19073e+17	6.96104e+17	7.58183e+17	3.31363e+17	7.80038e+15	5.62045e+15	5.13719e+15	2.24804e+15	1.42235e+15	2.84472e+15	4.26706e+15	5.68942e+15	7.11178e+15	8.53415e+15	9.95649e+15	1.13789e+16	1.27947e+16	2.32445e+16	3.06154e+17	4.11811e+17	4.68987	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	
503.278	6.86545e+17	2.79491e+17	1.22306e+17	7.7384e+16	1.54768e+17	2.32152e+17	3.09536e+17	3.8692e+17	4.64304e+17	5.41688e+17	6.19072e+17	6.96111e+17	7.58258e+17	3.31372e+17	7.79975e+15	5.62204e+15	5.13727e+15	2.24807e+15	1.42238e+15	2.84477e+15	4.26713e+15	5.68951e+15	7.11189e+15	8.53427e+15	9.95664e+15	1.1379e+16	1.27951e+16	2.32468e+16	3.06163e+17	4.11777e+17	4.68991	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68986	4.68986	4.68986	4.68986	
753.804	6.86536e+17	2.79491e+17	1.22306e+17	7.73839e+16	1.54768e+17	2.32152e+17	3.09535e+17	3.86919e+17	4.64303e+17	5.41687e+17	6.19071e+17	6.96114e+17	7.58296e+17	3.3136e+17	7.79959e+15	5.62733e+15	5.13757e+15	2.2482e+15	1.42246e+15	2.84493e+15	4.26738e+15	5.68984e+15	7.1123e+15	8.53477e+15	9.95721e+15	1.13797e+16	1.2796e+16	2.3248e+16	3.06154e+17	4.11769e+17	4.69013	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68987	4.68986	4.68986	4.68986	
1004.68	6.86519e+17	2.79489e+17	1.22305e+17	7.73835e+16	1.54767e+17	2.32151e+17	3.09534e+17	3.86918e+17	4.64301e+17	5.41685e+17	6.19068e+17	6.96113e+17	7.58322e+17	3.31347e+17	7.79959e+15	5.63827e+15	5.13828e+15	2.24852e+15	1.42266e+15	2.84533e+15	4.26797e+15	5.69063e+15	7.11329e+15	8.53596e+15	9.9586e+15	1.13814e+16	1.27982e+16	2.32487e+16	3.06145e+17	4.11769e+17	4.69071	4.68992	4.68992	4.68992	4.68992	4.68992	4.68992	4.68992	4.68992	4.68992	4.68992	4.68987	4.68986	4.68986	4.68986	
1255.76	6.86491e+17	2.79487e+17	1.22304e+17	7.73829e+16	1.54766e+17	2.32149e+17	3.09532e+17	3.86915e+17	4.64298e+17	5.4168e+17	6.19063e+17	6.96108e+17	7.58342e+17	3.31336e+17	7.79958e+15	5.6559e+15	5.13962e+15	2.2491e+15	1.42303e+15	2.84607e+15	4.26908e+15	5.69211e+15	7.11514e+15	8.53817e+15	9.96119e+15	1.13844e+16	1.28026e+16	2.32494e+16	3.06139e+17	4.11769e+17	4.69184	4.69001	4.69001	4.69001	4.69001	4.69001	4.69001	4.69001	4.69001	4.69001	4.69001	4.68989	4.68986	4.68986	4.68986	
1505.95	6.86452e+17	2.79484e+17	1.22303e+17	7.7382e+16	1.54764e+17	2.32146e+17	3.09528e+17	3.8691e+17	4.64292e+17	5.41674e+17	6.19055e+17	6.96098e+17	7.58358e+17	3.31325e+17	7.79956e+15	5.68029e+15	5.14176e+15	2.25004e+15	1.42362e+15	2.84725e+15	4.27086e+15	5.69448e+15	7.1181e+15	8.54173e+15	9.96533e+15	1.13892e+16	1.28098e+16	2.32499e+16	3.06135e+17	4.11769e+17	4.69364	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.68992	4.68986	4.68986	4.68986	
1757.02	6.86404e+17	2.79479e+17	1.22301e+17	7.73806e+16	1.54761e+17	2.32142e+17	3.09522e+17	3.86903e+17	4.64284e+17	5.41664e+17	6.19044e+17	6.96082e+17	7.58373e+17	3.31315e+17	7.79954e+15	5.71103e+15	5.14488e+15	2.2514e+15	1.42448e+15	2.84898e+15	4.27345e+15	5.69794e+15	7.12242e+15	8.54692e+15	9.97139e+15	1.13963e+16	1.28209e+16	2.32503e+16	3.06133e+17	4.11769e+17	4.69612	4.69041	4.69041	4.69041	4.69041	4.69041	4.69041	4.69041	4.69041	4.69041	4.69041	4.68997	4.68986	4.68986	4.68986	
2008.3	6.86347e+17	2.79472e+17	1.22298e+17	7.73787e+16	1.54757e+17	2.32136e+17	3.09515e+17	3.86894e+17	4.64272e+17	5.41651e+17	6.19029e+17	6.96058e+17	7.58387e+17	3.31306e+17	7.7995e+15	5.74702e+15	5.14912e+15	2.25326e+15	1.42566e+15	2.85133e+15	4.27697e+15	5.70263e+15	7.12829e+15	8.55396e+15	9.9796e+15	1.14058e+16	1.28366e+16	2.32508e+16	3.06132e+17	4.11769e+17	4.69925	4.69078	4.69078	4.69078	4.69078	4.69078	4.69078	4.69078	4.69078	4.69078	4.69078	4.69005	4.68986	4.68986	4.68986	
2258.6	6.86285e+17	2.79463e+17	1.22294e+17	7.73763e+16	1.54753e+17	2.32129e+17	3.09505e+17	3.86882e+17	4.64258e+17	5.41634e+17	6.1901e+17	6.96026e+17	7.584e+17	3.31297e+17	7.79944e+15	5.78678e+15	5.15455e+15	2.25563e+15	1.42716e+15	2.85433e+15	4.28148e+15	5.70864e+15	7.1358e+15	8.56297e+15	9.99012e+15	1.14179e+16	1.28577e+16	2.32511e+16	3.06133e+17	4.11769e+17	4.7029	4.69127	4.69127	4.69127	4.69127	4.69127	4.69127	4.69127	4.69127	4.69127	4.69126	4.69017	4.68986	4.68986	4.68986	
