Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
5275.07	3.35908	3.08753	3.23297	3.19444	3.20565	0.324888	1.57586	-4.69322	4.05621	3.09351	0.227239	-28.0392	0	289.955	280.955	0.000162184	4.49713	2.4834e-05	1.54043e-05	4.77229	5.03097e-06	1.5623e-05	-0.0553541	0.0625744	8.81505	
5526.1	3.35894	3.08754	3.23298	3.19446	3.20567	0.324886	1.57585	-4.69319	4.05628	3.09359	0.227242	-28.039	0	289.955	280.955	0.000162183	4.49727	2.48452e-05	1.53929e-05	4.77246	5.03102e-06	1.56231e-05	-0.055349	0.0625758	8.81509	
5776.78	3.35883	3.08755	3.23299	3.19447	3.20568	0.324884	1.57584	-4.69315	4.05634	3.09366	0.227244	-28.0388	0	289.955	280.955	0.000162182	4.49735	2.48555e-05	1.53823e-05	4.77264	5.03106e-06	1.56231e-05	-0.0553452	0.0625767	8.81511	
6027.41	3.35875	3.08755	3.233	3.19448	3.20569	0.324881	1.57583	-4.69311	4.0564	3.09373	0.227246	-28.0387	0	289.955	280.955	0.000162181	4.49738	2.48651e-05	1.53724e-05	4.77282	5.03108e-06	1.56231e-05	-0.0553426	0.0625769	8.81513	
6278.88	3.35871	3.08755	3.233	3.19448	3.20569	0.324879	1.57581	-4.69306	4.05646	3.0938	0.227247	-28.0385	0	289.954	280.954	0.00016218	4.49736	2.4874e-05	1.53632e-05	4.773	5.03109e-06	1.5623e-05	-0.055341	0.0625767	8.81514	
6532.92	3.35869	3.08756	3.233	3.19448	3.20569	0.324877	1.5758	-4.693	4.05653	3.09387	0.227247	-28.0385	0	289.954	280.954	0.000162178	4.49728	2.48825e-05	1.53544e-05	4.77319	5.03108e-06	1.5623e-05	-0.0553404	0.062576	8.81515	
6783.95	3.35869	3.08755	3.233	3.19448	3.20568	0.324875	1.57579	-4.69294	4.05659	3.09394	0.227247	-28.0384	0	289.954	280.954	0.000162177	4.49717	2.48903e-05	1.53463e-05	4.77339	5.03107e-06	1.56229e-05	-0.0553407	0.0625748	8.81515	
7034.63	3.35872	3.08755	3.233	3.19448	3.20568	0.324872	1.57578	-4.69288	4.05665	3.09401	0.227247	-28.0384	0	289.954	280.954	0.000162176	4.49701	2.48977e-05	1.53386e-05	4.77358	5.03105e-06	1.56227e-05	-0.0553417	0.0625732	8.81514	
7285.26	3.35876	3.08755	3.23299	3.19447	3.20567	0.32487	1.57577	-4.69281	4.05671	3.09407	0.227246	-28.0384	0	289.955	280.955	0.000162175	4.49682	2.49047e-05	1.53314e-05	4.77378	5.03102e-06	1.56225e-05	-0.0553436	0.0625713	8.81513	
7536.73	3.35883	3.08754	3.23299	3.19446	3.20566	0.324868	1.57576	-4.69274	4.05677	3.09414	0.227244	-28.0384	0	289.955	280.955	0.000162174	4.49659	2.49113e-05	1.53245e-05	4.77398	5.03098e-06	1.56224e-05	-0.0553461	0.062569	8.81511	
