Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac	Assim	Resp
3764.19	3.35839	3.08715	3.23257	3.194	3.20524	0.324893	1.57589	-4.69278	4.05779	3.09486	0.227337	-28.0379	0	289.944	280.944	0.000162187	4.49499	2.47449e-05	1.54941e-05	4.77308	5.03319e-06	1.563e-05	-0.0554087	0.062553	8.81626	0.014427	0.0143808	
4014.97	3.35796	3.08717	3.23261	3.19404	3.20528	0.324891	1.57587	-4.69283	4.05787	3.09496	0.227347	-28.0375	0	289.943	280.943	0.000162185	4.49557	2.47631e-05	1.54756e-05	4.77326	5.0334e-06	1.56306e-05	-0.0553944	0.0625588	8.81639	0.014427	0.0143808	
4265.4	3.35761	3.08719	3.23263	3.19408	3.20532	0.324888	1.57586	-4.69285	4.05794	3.09506	0.227356	-28.0371	0	289.942	280.942	0.000162184	4.49604	2.47794e-05	1.54589e-05	4.77343	5.03357e-06	1.5631e-05	-0.0553824	0.0625635	8.81649	0.014427	0.0143808	
4516.65	3.35731	3.08721	3.23265	3.19411	3.20535	0.324885	1.57585	-4.69287	4.05802	3.09516	0.227363	-28.0367	0	289.942	280.942	0.000162183	4.49642	2.47943e-05	1.54436e-05	4.77362	5.03371e-06	1.56314e-05	-0.0553726	0.0625673	8.81658	0.014427	0.0143808	
4767.14	3.35707	3.08722	3.23267	3.19413	3.20537	0.324882	1.57583	-4.69286	4.05809	3.09525	0.227369	-28.0364	0	289.941	280.941	0.000162181	4.49672	2.48078e-05	1.54298e-05	4.7738	5.03382e-06	1.56317e-05	-0.0553645	0.0625703	8.81665	0.014427	0.0143808	
5018.01	3.35688	3.08723	3.23268	3.19415	3.20539	0.32488	1.57582	-4.69285	4.05816	3.09534	0.227374	-28.0362	0	289.941	280.941	0.00016218	4.49694	2.48201e-05	1.54171e-05	4.77399	5.03391e-06	1.56318e-05	-0.0553581	0.0625725	8.8167	0.014427	0.0143808	
5269.08	3.35673	3.08724	3.23269	3.19416	3.20541	0.324877	1.57581	-4.69282	4.05823	3.09542	0.227377	-28.036	0	289.94	280.94	0.000162179	4.49708	2.48314e-05	1.54055e-05	4.77419	5.03398e-06	1.5632e-05	-0.0553532	0.062574	8.81675	0.014427	0.0143808	
5519.26	3.35662	3.08724	3.2327	3.19417	3.20541	0.324874	1.57579	-4.69279	4.05829	3.09551	0.22738	-28.0358	0	289.94	280.94	0.000162177	4.49717	2.48418e-05	1.53948e-05	4.77438	5.03402e-06	1.5632e-05	-0.0553496	0.0625748	8.81678	0.014427	0.0143808	
5770.33	3.35654	3.08725	3.2327	3.19418	3.20542	0.324871	1.57578	-4.69275	4.05836	3.09559	0.227382	-28.0357	0	289.94	280.94	0.000162176	4.4972	2.48515e-05	1.53848e-05	4.77458	5.03405e-06	1.5632e-05	-0.0553472	0.0625751	8.8168	0.014427	0.0143808	
6021.61	3.35649	3.08725	3.23271	3.19418	3.20542	0.324869	1.57577	-4.6927	4.05843	3.09567	0.227383	-28.0356	0	289.94	280.94	0.000162174	4.49717	2.48604e-05	1.53755e-05	4.77479	5.03406e-06	1.56319e-05	-0.0553458	0.0625748	8.81681	0.014427	0.0143808	
6271.92	3.35648	3.08725	3.2327	3.19418	3.20542	0.324866	1.57575	-4.69264	4.05849	3.09575	0.227383	-28.0355	0	289.94	280.94	0.000162173	4.4971	2.48688e-05	1.53668e-05	4.77499	5.03405e-06	1.56318e-05	-0.0553454	0.0625741	8.81682	0.014427	0.0143808	
6522.95	3.35649	3.08724	3.2327	3.19418	3.20541	0.324863	1.57574	-4.69258	4.05855	3.09582	0.227383	-28.0354	0	289.94	280.94	0.000162172	4.49698	2.48766e-05	1.53586e-05	4.7752	5.03404e-06	1.56317e-05	-0.055346	0.0625729	8.81682	0.014427	0.0143808	
6773.63	3.35652	3.08724	3.2327	3.19417	3.2054	0.32486	1.57573	-4.69251	4.05862	3.0959	0.227382	-28.0354	0	289.94	280.94	0.00016217	4.49682	2.4884e-05	1.53509e-05	4.77541	5.03401e-06	1.56315e-05	-0.0553473	0.0625713	8.81681	0.014427	0.0143808	
7024.26	3.35657	3.08723	3.23269	3.19416	3.20539	0.324858	1.57571	-4.69243	4.05868	3.09597	0.227381	-28.0354	0	289.94	280.94	0.000162169	4.49662	2.48909e-05	1.53436e-05	4.77562	5.03396e-06	1.56313e-05	-0.0553493	0.0625694	8.81679	0.014427	0.0143808	
7275.73	3.35664	3.08723	3.23268	3.19415	3.20538	0.324855	1.5757	-4.69235	4.05874	3.09604	0.227379	-28.0354	0	289.94	280.94	0.000162168	4.49639	2.48975e-05	1.53367e-05	4.77583	5.03391e-06	1.5631e-05	-0.0553521	0.062567	8.81677	0.014427	0.0143808	
