Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
0	3.38	3.08	3.23	3.19	3.2	0.325	1.576	-4.7	4	3.1	0.226828	-28.1	0	290	281	0.00016224	4.38078	1.72819e-05	2.29702e-05	4.68986	5.0224e-06	1.56e-05	-0.0530665	0.0614203	8.81	
251.388	3.37329	3.08421	3.23074	3.19037	3.20196	0.324922	1.576	-4.70323	4.04519	3.09493	0.22697	-28.0663	0	289.986	280.986	0.000162201	4.43228	2.18058e-05	1.84367e-05	4.75198	5.02493e-06	1.56053e-05	-0.0559976	0.0619285	8.81162	
502.057	3.37481	3.08536	3.23109	3.19145	3.20283	0.324922	1.576	-4.69403	4.05242	3.09353	0.22693	-28.0588	0	289.989	280.989	0.000162201	4.45489	2.32313e-05	1.70112e-05	4.76356	5.02427e-06	1.56033e-05	-0.05603	0.0621529	8.81125	
753.201	3.37405	3.08595	3.23135	3.19212	3.20335	0.324921	1.576	-4.6913	4.05491	3.09317	0.226943	-28.0551	0	289.987	280.987	0.000162201	4.4665	2.37942e-05	1.64482e-05	4.76775	5.0246e-06	1.56043e-05	-0.0559524	0.0622685	8.81143	
1004.55	3.3724	3.08629	3.23156	3.19255	3.20373	0.32492	1.57599	-4.69066	4.05577	3.09314	0.226975	-28.0524	0	289.984	280.984	0.0001622	4.47354	2.40866e-05	1.61556e-05	4.76951	5.02531e-06	1.56064e-05	-0.0558715	0.0623387	8.81183	
1255	3.37055	3.0865	3.23175	3.19286	3.20403	0.324919	1.57599	-4.69069	4.05611	3.09322	0.227011	-28.0503	0	289.98	280.98	0.000162199	4.47827	2.42602e-05	1.59819e-05	4.77034	5.02611e-06	1.56089e-05	-0.0557956	0.0623859	8.81228	
1505.6	3.36876	3.08665	3.23191	3.1931	3.20426	0.324917	1.57598	-4.69091	4.05629	3.09332	0.227047	-28.0484	0	289.976	280.976	0.000162199	4.48174	2.43751e-05	1.58668e-05	4.77079	5.02688e-06	1.56112e-05	-0.0557275	0.0624205	8.81271	
1756.56	3.36713	3.08677	3.23205	3.19329	3.20446	0.324915	1.57598	-4.69117	4.0564	3.09342	0.227079	-28.0467	0	289.972	280.972	0.000162198	4.48445	2.44576e-05	1.5784e-05	4.77109	5.02758e-06	1.56133e-05	-0.0556677	0.0624476	8.8131	
2007.1	3.3657	3.08686	3.23216	3.19345	3.20463	0.324913	1.57597	-4.6914	4.05649	3.09353	0.227107	-28.0452	0	289.969	280.969	0.000162197	4.48665	2.45204e-05	1.5721e-05	4.7713	5.0282e-06	1.56152e-05	-0.0556158	0.0624696	8.81345	
2258.13	3.36445	3.08694	3.23226	3.19358	3.20477	0.324911	1.57596	-4.69161	4.05657	3.09363	0.227132	-28.0439	0	289.967	280.967	0.000162196	4.4885	2.45706e-05	1.56706e-05	4.77148	5.02873e-06	1.56168e-05	-0.055571	0.0624881	8.81375	
2509.44	3.36337	3.08701	3.23235	3.1937	3.20489	0.324909	1.57595	-4.69178	4.05665	3.09373	0.227153	-28.0428	0	289.964	280.964	0.000162195	4.49007	2.4612e-05	1.56289e-05	4.77163	5.0292e-06	1.56182e-05	-0.0555323	0.0625038	8.81401	
2759.95	3.36245	3.08706	3.23242	3.1938	3.20499	0.324907	1.57595	-4.69192	4.05672	3.09382	0.227172	-28.0419	0	289.962	280.962	0.000162194	4.49142	2.4647e-05	1.55937e-05	4.77178	5.02959e-06	1.56193e-05	-0.0554992	0.0625173	8.81424	
3011.2	3.36165	3.08711	3.23249	3.19388	3.20508	0.324905	1.57594	-4.69203	4.0568	3.09392	0.227188	-28.041	0	289.961	280.961	0.000162193	4.49258	2.46771e-05	1.55633e-05	4.77192	5.02993e-06	1.56203e-05	-0.0554706	0.0625289	8.81443	
3261.51	3.36097	3.08715	3.23254	3.19395	3.20516	0.324903	1.57593	-4.69211	4.05687	3.09401	0.227201	-28.0403	0	289.959	280.959	0.000162191	4.49357	2.47033e-05	1.55368e-05	4.77206	5.03021e-06	1.56211e-05	-0.0554461	0.0625388	8.81459	
3512.08	3.36039	3.08719	3.23259	3.19401	3.20523	0.3249	1.57592	-4.69218	4.05694	3.09409	0.227213	-28.0397	0	289.958	280.958	0.00016219	4.49442	2.47265e-05	1.55133e-05	4.7722	5.03046e-06	1.56218e-05	-0.0554251	0.0625473	8.81473	
3763.55	3.35988	3.08722	3.23263	3.19407	3.20528	0.324898	1.57591	-4.69222	4.05701	3.09418	0.227223	-28.0391	0	289.957	280.957	0.000162189	4.49514	2.47472e-05	1.54923e-05	4.77235	5.03067e-06	1.56224e-05	-0.0554071	0.0625545	8.81486	
4014.33	3.35946	3.08724	3.23266	3.19411	3.20533	0.324896	1.5759	-4.69225	4.05708	3.09426	0.227231	-28.0387	0	289.956	280.956	0.000162188	4.49575	2.47657e-05	1.54735e-05	4.7725	5.03084e-06	1.56228e-05	-0.0553918	0.0625606	8.81496	
4264.76	3.3591	3.08727	3.23269	3.19415	3.20537	0.324894	1.57588	-4.69226	4.05715	3.09435	0.227238	-28.0382	0	289.955	280.955	0.000162187	4.49625	2.47825e-05	1.54565e-05	4.77266	5.03099e-06	1.56232e-05	-0.0553789	0.0625656	8.81505	
4516.01	3.3588	3.08728	3.23271	3.19418	3.2054	0.324891	1.57587	-4.69227	4.05722	3.09443	0.227244	-28.0379	0	289.955	280.955	0.000162186	4.49665	2.47977e-05	1.5441e-05	4.77282	5.03111e-06	1.56235e-05	-0.0553681	0.0625697	8.81512	
4766.5	3.35855	3.0873	3.23273	3.19421	3.20543	0.324889	1.57586	-4.69226	4.05729	3.09451	0.227249	-28.0376	0	289.954	280.954	0.000162185	4.49698	2.48116e-05	1.54269e-05	4.77299	5.0312e-06	1.56237e-05	-0.0553592	0.0625729	8.81518	
5017.37	3.35835	3.08731	3.23275	3.19423	3.20545	0.324887	1.57585	-4.69224	4.05735	3.09458	0.227254	-28.0373	0	289.954	280.954	0.000162183	4.49722	2.48242e-05	1.54139e-05	4.77317	5.03128e-06	1.56239e-05	-0.055352	0.0625753	8.81523	
5268.44	3.35819	3.08732	3.23276	3.19425	3.20547	0.324884	1.57584	-4.69221	4.05742	3.09466	0.227257	-28.0371	0	289.953	280.953	0.000162182	4.4974	2.48358e-05	1.5402e-05	4.77335	5.03134e-06	1.5624e-05	-0.0553462	0.0625771	8.81527	
5518.62	3.35806	3.08733	3.23277	3.19426	3.20548	0.324882	1.57583	-4.69217	4.05749	3.09474	0.227259	-28.0369	0	289.953	280.953	0.000162181	4.49751	2.48465e-05	1.5391e-05	4.77353	5.03138e-06	1.56241e-05	-0.0553418	0.0625782	8.8153	
5769.7	3.35797	3.08733	3.23278	3.19427	3.20549	0.324879	1.57582	-4.69213	4.05755	3.09481	0.227261	-28.0367	0	289.953	280.953	0.00016218	4.49756	2.48564e-05	1.53808e-05	4.77372	5.03141e-06	1.56241e-05	-0.0553387	0.0625787	8.81532	
