Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac	Assim	Resp	Eros
163499	4.19811	3.45647	3.6152	3.56609	3.57148	0.361584	1.7543	-5.99038	2.55836	1.58907	0.210255	-30.2383	0	291.876	282.876	0.000180503	4.7821	3.14915e-05	1.32917e-05	3.14471	4.82373e-06	1.60846e-05	-0.0452642	0.0654936	8.59979	0.014427	0.0143839	4.30817e-05	
163750	4.19771	3.45635	3.61509	3.56597	3.57137	0.361607	1.75441	-5.98848	2.56035	1.59099	0.210263	-30.236	0	291.875	282.875	0.000180514	4.78177	3.14879e-05	1.32981e-05	3.14671	4.824e-06	1.60862e-05	-0.0452647	0.0654901	8.59988	0.014427	0.0143839	4.3083e-05	
164002	4.19731	3.45622	3.61498	3.56585	3.57126	0.361629	1.75452	-5.98658	2.56233	1.5929	0.21027	-30.2337	0	291.875	282.875	0.000180525	4.78145	3.14844e-05	1.33044e-05	3.14871	4.82426e-06	1.60877e-05	-0.045265	0.0654867	8.59998	0.014427	0.0143839	4.30843e-05	
164254	4.1969	3.4561	3.61487	3.56573	3.57115	0.361652	1.75463	-5.98469	2.56431	1.5948	0.210277	-30.2315	0	291.874	282.874	0.000180537	4.78113	3.14809e-05	1.33108e-05	3.1507	4.82453e-06	1.60893e-05	-0.045266	0.0654834	8.60007	0.014427	0.0143839	4.30856e-05	
164505	4.1965	3.45597	3.61476	3.5656	3.57104	0.361675	1.75474	-5.9828	2.56629	1.59671	0.210284	-30.2292	0	291.873	282.873	0.000180548	4.78081	3.14774e-05	1.3317e-05	3.1527	4.8248e-06	1.60908e-05	-0.0452662	0.06548	8.60016	0.014427	0.0143839	4.30869e-05	
164757	4.19609	3.45585	3.61465	3.56548	3.57093	0.361697	1.75485	-5.98091	2.56826	1.59861	0.210291	-30.2269	0	291.872	282.872	0.000180559	4.78049	3.1474e-05	1.33232e-05	3.15468	4.82507e-06	1.60924e-05	-0.0452669	0.0654767	8.60025	0.014427	0.0143839	4.30881e-05	
165009	4.19569	3.45573	3.61454	3.56536	3.57082	0.36172	1.75496	-5.97903	2.57023	1.60051	0.210298	-30.2246	0	291.871	282.871	0.00018057	4.78018	3.14705e-05	1.33294e-05	3.15667	4.82534e-06	1.60939e-05	-0.0452673	0.0654734	8.60035	0.014427	0.0143839	4.30894e-05	
165260	4.19528	3.4556	3.61443	3.56524	3.57071	0.361742	1.75507	-5.97715	2.5722	1.6024	0.210305	-30.2223	0	291.87	282.87	0.000180582	4.77986	3.14672e-05	1.33356e-05	3.15865	4.8256e-06	1.60954e-05	-0.0452679	0.0654701	8.60044	0.014427	0.0143839	4.30907e-05	
165512	4.19487	3.45548	3.61433	3.56512	3.5706	0.361764	1.75518	-5.97527	2.57417	1.6043	0.210312	-30.22	0	291.87	282.87	0.000180593	4.77955	3.14638e-05	1.33417e-05	3.16063	4.82587e-06	1.6097e-05	-0.0452681	0.0654669	8.60054	0.014427	0.0143839	4.3092e-05	
165764	4.19446	3.45536	3.61422	3.565	3.57049	0.361786	1.75529	-5.9734	2.57613	1.60619	0.210319	-30.2178	0	291.869	282.869	0.000180604	4.77925	3.14604e-05	1.33478e-05	3.1626	4.82614e-06	1.60985e-05	-0.0452681	0.0654636	8.60063	0.014427	0.0143839	4.30933e-05	
166015	4.19405	3.45523	3.61411	3.56488	3.57038	0.361808	1.7554	-5.97153	2.57809	1.60807	0.210327	-30.2155	0	291.868	282.868	0.000180615	4.77894	3.14571e-05	1.33539e-05	3.16457	4.82641e-06	1.61001e-05	-0.0452689	0.0654604	8.60072	0.014427	0.0143839	4.30946e-05	
166267	4.19364	3.45511	3.614	3.56476	3.57027	0.36183	1.75551	-5.96966	2.58005	1.60996	0.210334	-30.2132	0	291.867	282.867	0.000180626	4.77863	3.14538e-05	1.33599e-05	3.16654	4.82667e-06	1.61016e-05	-0.0452689	0.0654573	8.60082	0.014427	0.0143839	4.30959e-05	
166519	4.19323	3.45499	3.61389	3.56464	3.57016	0.361852	1.75562	-5.96779	2.582	1.61184	0.210341	-30.2109	0	291.866	282.866	0.000180637	4.77833	3.14505e-05	1.33659e-05	3.1685	4.82694e-06	1.61031e-05	-0.0452694	0.0654541	8.60091	0.014427	0.0143839	4.30972e-05	
166770	4.19282	3.45486	3.61378	3.56452	3.57005	0.361874	1.75572	-5.96593	2.58396	1.61372	0.210348	-30.2087	0	291.865	282.865	0.000180648	4.77803	3.14472e-05	1.33719e-05	3.17046	4.82721e-06	1.61046e-05	-0.0452696	0.0654509	8.60101	0.014427	0.0143839	4.30985e-05	
167022	4.19241	3.45474	3.61367	3.5644	3.56994	0.361896	1.75583	-5.96407	2.5859	1.6156	0.210356	-30.2064	0	291.865	282.865	0.000180658	4.77773	3.1444e-05	1.33779e-05	3.17242	4.82748e-06	1.61062e-05	-0.04527	0.0654478	8.6011	0.014427	0.0143839	4.30998e-05	
167274	4.19199	3.45462	3.61357	3.56428	3.56983	0.361918	1.75594	-5.96221	2.58785	1.61747	0.210363	-30.2042	0	291.864	282.864	0.000180669	4.77743	3.14407e-05	1.33838e-05	3.17438	4.82774e-06	1.61077e-05	-0.0452702	0.0654447	8.6012	0.014427	0.0143839	4.31012e-05	
167526	4.19158	3.45449	3.61346	3.56416	3.56972	0.361939	1.75605	-5.96036	2.5898	1.61935	0.21037	-30.2019	0	291.863	282.863	0.00018068	4.77714	3.14375e-05	1.33897e-05	3.17633	4.82801e-06	1.61092e-05	-0.0452701	0.0654416	8.60129	0.014427	0.0143839	4.31025e-05	
167777	4.19117	3.45437	3.61335	3.56404	3.56961	0.361961	1.75615	-5.95851	2.59173	1.62121	0.210377	-30.1996	0	291.862	282.862	0.000180691	4.77684	3.14343e-05	1.33956e-05	3.17828	4.82828e-06	1.61107e-05	-0.0452707	0.0654385	8.60139	0.014427	0.0143839	4.31038e-05	
168029	4.19076	3.45425	3.61324	3.56392	3.5695	0.361982	1.75626	-5.95666	2.59367	1.62308	0.210385	-30.1974	0	291.861	282.861	0.000180701	4.77655	3.14311e-05	1.34014e-05	3.18022	4.82854e-06	1.61122e-05	-0.0452706	0.0654354	8.60148	0.014427	0.0143839	4.31051e-05	
168281	4.19034	3.45412	3.61313	3.5638	3.56939	0.362004	1.75636	-5.95481	2.59561	1.62494	0.210392	-30.1951	0	291.86	282.86	0.000180712	4.77625	3.14279e-05	1.34073e-05	3.18216	4.82881e-06	1.61137e-05	-0.045271	0.0654323	8.60158	0.014427	0.0143839	4.31064e-05	
168533	4.18993	3.454	3.61302	3.56368	3.56928	0.362025	1.75647	-5.95297	2.59754	1.6268	0.210399	-30.1929	0	291.859	282.859	0.000180723	4.77596	3.14247e-05	1.34131e-05	3.1841	4.82907e-06	1.61152e-05	-0.0452712	0.0654292	8.60167	0.014427	0.0143839	4.31077e-05	
168785	4.18952	3.45388	3.61291	3.56357	3.56917	0.362046	1.75657	-5.95113	2.59946	1.62866	0.210406	-30.1906	0	291.859	282.859	0.000180733	4.77567	3.14216e-05	1.34189e-05	3.18604	4.82934e-06	1.61167e-05	-0.0452716	0.0654262	8.60177	0.014427	0.0143839	4.3109e-05	
169037	4.18911	3.45376	3.61281	3.56345	3.56906	0.362067	1.75667	-5.9493	2.60139	1.63052	0.210414	-30.1884	0	291.858	282.858	0.000180744	4.77538	3.14184e-05	1.34246e-05	3.18797	4.8296e-06	1.61182e-05	-0.0452716	0.0654232	8.60186	0.014427	0.0143839	4.31103e-05	
169289	4.18869	3.45363	3.6127	3.56333	3.56896	0.362088	1.75678	-5.94746	2.60332	1.63237	0.210421	-30.1862	0	291.857	282.857	0.000180754	4.77509	3.14152e-05	1.34304e-05	3.1899	4.82987e-06	1.61197e-05	-0.0452715	0.0654201	8.60195	0.014427	0.0143839	4.31117e-05	
169541	4.18828	3.45351	3.61259	3.56321	3.56885	0.362109	1.75688	-5.94563	2.60523	1.63422	0.210428	-30.1839	0	291.856	282.856	0.000180765	4.7748	3.14121e-05	1.34361e-05	3.19183	4.83013e-06	1.61212e-05	-0.0452721	0.0654171	8.60205	0.014427	0.0143839	4.3113e-05	
169793	4.18787	3.45339	3.61248	3.56309	3.56874	0.36213	1.75698	-5.9438	2.60715	1.63607	0.210435	-30.1817	0	291.855	282.855	0.000180775	4.77451	3.1409e-05	1.34418e-05	3.19375	4.8304e-06	1.61227e-05	-0.045272	0.0654141	8.60214	0.014427	0.0143839	4.31143e-05	
