Time	Carb1	Carb2	Carb3	Carb4	Carb5	Carb6	Carb7	Carb8	Carb9	Carb10	Carb11	Carb12	Carb13	Carb14	Carb15	Sil1	Sil2	Sil3	Sil4	Sil5	Sil6	Sil7	Sil8	Sil9	Sil10	Sil11	Sil12	Sil13	Sil14	Sil15	c131	c132	c133	c134	c135	c136	c137	c138	c139	c1310	c1311	c1312	c1313	c1314	c1315	
176400	6.85688e+17	2.78674e+17	1.21949e+17	7.71578e+16	1.54316e+17	2.31474e+17	3.08631e+17	3.85789e+17	4.62947e+17	5.40105e+17	6.17263e+17	6.90117e+17	7.39119e+17	3.35197e+17	8.59998e+15	6.1963e+15	5.65929e+15	2.47652e+15	1.56691e+15	3.13383e+15	4.70074e+15	6.26766e+15	7.83457e+15	9.40149e+15	1.09684e+16	1.25353e+16	1.67116e+16	3.56615e+16	3.09708e+17	4.54031e+17	3.93241	3.84615	3.84615	3.84615	3.84615	3.84615	3.84615	3.84615	3.84615	3.84615	3.84615	3.81176	3.55472	4.68986	4.68986	
176651	6.85688e+17	2.78674e+17	1.21949e+17	7.71579e+16	1.54316e+17	2.31474e+17	3.08632e+17	3.85789e+17	4.62947e+17	5.40105e+17	6.17263e+17	6.90111e+17	7.39089e+17	3.35197e+17	8.59998e+15	6.19623e+15	5.65921e+15	2.47648e+15	1.56689e+15	3.13378e+15	4.70067e+15	6.26756e+15	7.83446e+15	9.40135e+15	1.09682e+16	1.25351e+16	1.67149e+16	3.56796e+16	3.09708e+17	4.54031e+17	3.93358	3.84746	3.84746	3.84746	3.84746	3.84746	3.84746	3.84746	3.84746	3.84746	3.84746	3.81308	3.55611	4.68986	4.68986	
176903	6.85688e+17	2.78674e+17	1.21949e+17	7.71579e+16	1.54316e+17	2.31474e+17	3.08632e+17	3.8579e+17	4.62948e+17	5.40105e+17	6.17263e+17	6.90106e+17	7.3906e+17	3.35197e+17	8.59997e+15	6.19615e+15	5.65912e+15	2.47645e+15	1.56687e+15	3.13373e+15	4.7006e+15	6.26747e+15	7.83434e+15	9.4012e+15	1.09681e+16	1.25349e+16	1.67182e+16	3.56978e+16	3.09708e+17	4.54031e+17	3.93475	3.84876	3.84876	3.84876	3.84876	3.84876	3.84876	3.84876	3.84876	3.84876	3.84876	3.8144	3.5575	4.68986	4.68986	
177155	6.85688e+17	2.78675e+17	1.21949e+17	7.7158e+16	1.54316e+17	2.31474e+17	3.08632e+17	3.8579e+17	4.62948e+17	5.40106e+17	6.17264e+17	6.901e+17	7.39031e+17	3.35196e+17	8.59997e+15	6.19608e+15	5.65904e+15	2.47641e+15	1.56684e+15	3.13369e+15	4.70053e+15	6.26738e+15	7.83422e+15	9.40106e+15	1.09679e+16	1.25348e+16	1.67215e+16	3.5716e+16	3.09708e+17	4.54031e+17	3.93593	3.85007	3.85007	3.85007	3.85007	3.85007	3.85007	3.85007	3.85007	3.85007	3.85007	3.81572	3.55888	4.68986	4.68986	
177407	6.85688e+17	2.78675e+17	1.21949e+17	7.7158e+16	1.54316e+17	2.31474e+17	3.08632e+17	3.8579e+17	4.62948e+17	5.40106e+17	6.17264e+17	6.90095e+17	7.39001e+17	3.35196e+17	8.59997e+15	6.19601e+15	5.65895e+15	2.47637e+15	1.56682e+15	3.13364e+15	4.70046e+15	6.26728e+15	7.8341e+15	9.40092e+15	1.09677e+16	1.25346e+16	1.67248e+16	3.57343e+16	3.09708e+17	4.54031e+17	3.9371	3.85137	3.85137	3.85137	3.85137	3.85137	3.85137	3.85137	3.85137	3.85137	3.85137	3.81704	3.56027	4.68986	4.68986	
177658	6.85688e+17	2.78675e+17	1.21949e+17	7.7158e+16	1.54316e+17	2.31474e+17	3.08632e+17	3.8579e+17	4.62948e+17	5.40106e+17	6.17264e+17	6.9009e+17	7.38972e+17	3.35196e+17	8.59997e+15	6.19594e+15	5.65887e+15	2.47633e+15	1.5668e+15	3.13359e+15	4.70039e+15	6.26719e+15	7.83399e+15	9.40078e+15	1.09676e+16	1.25344e+16	1.67282e+16	3.57527e+16	3.09708e+17	4.54031e+17	3.93826	3.85267	3.85267	3.85267	3.85267	3.85267	3.85267	3.85267	3.85267	3.85267	3.85267	3.81835	3.56165	4.68986	4.68986	
177910	6.85688e+17	2.78675e+17	1.21949e+17	7.71581e+16	1.54316e+17	2.31474e+17	3.08632e+17	3.8579e+17	4.62948e+17	5.40106e+17	6.17265e+17	6.90084e+17	7.38942e+17	3.35196e+17	8.59997e+15	6.19587e+15	5.65878e+15	2.4763e+15	1.56677e+15	3.13355e+15	4.70032e+15	6.2671e+15	7.83387e+15	9.40064e+15	1.09674e+16	1.25342e+16	1.67315e+16	3.57711e+16	3.09708e+17	4.54031e+17	3.93943	3.85397	3.85397	3.85397	3.85397	3.85397	3.85397	3.85397	3.85397	3.85397	3.85397	3.81966	3.56303	4.68986	4.68986	
178162	6.85689e+17	2.78675e+17	1.21949e+17	7.71581e+16	1.54316e+17	2.31474e+17	3.08632e+17	3.85791e+17	4.62949e+17	5.40107e+17	6.17265e+17	6.90079e+17	7.38912e+17	3.35196e+17	8.59996e+15	6.1958e+15	5.6587e+15	2.47626e+15	1.56675e+15	3.1335e+15	4.70025e+15	6.267e+15	7.83376e+15	9.40051e+15	1.09673e+16	1.2534e+16	1.67348e+16	3.57896e+16	3.09708e+17	4.54031e+17	3.94059	3.85526	3.85526	3.85526	3.85526	3.85526	3.85526	3.85526	3.85526	3.85526	3.85526	3.82096	3.56441	4.68986	4.68986	
178413	6.85689e+17	2.78675e+17	1.21949e+17	7.71581e+16	1.54316e+17	2.31474e+17	3.08633e+17	3.85791e+17	4.62949e+17	5.40107e+17	6.17265e+17	6.90074e+17	7.38883e+17	3.35196e+17	8.59996e+15	6.19573e+15	5.65862e+15	2.47623e+15	1.56673e+15	3.13346e+15	4.70018e+15	6.26691e+15	7.83364e+15	9.40037e+15	1.09671e+16	1.25338e+16	1.67381e+16	3.58082e+16	3.09708e+17	4.54031e+17	3.94175	3.85656	3.85656	3.85656	3.85656	3.85656	3.85656	3.85656	3.85656	3.85656	3.85656	3.82227	3.56579	4.68986	4.68986	
178665	6.85689e+17	2.78675e+17	1.21949e+17	7.71582e+16	1.54316e+17	2.31475e+17	3.08633e+17	3.85791e+17	4.62949e+17	5.40107e+17	6.17265e+17	6.90068e+17	7.38853e+17	3.35196e+17	8.59996e+15	6.19566e+15	5.65853e+15	2.47619e+15	1.56671e+15	3.13341e+15	4.70012e+15	6.26682e+15	7.83353e+15	9.40023e+15	1.09669e+16	1.25336e+16	1.67414e+16	3.58268e+16	3.09708e+17	4.54031e+17	3.94291	3.85785	3.85785	3.85785	3.85785	3.85785	3.85785	3.85785	3.85785	3.85785	3.85785	3.82358	3.56717	4.68986	4.68986	
178917	6.85689e+17	2.78676e+17	1.21949e+17	7.71582e+16	1.54316e+17	2.31475e+17	3.08633e+17	3.85791e+17	4.62949e+17	5.40108e+17	6.17266e+17	6.90063e+17	7.38822e+17	3.35195e+17	8.59996e+15	6.19559e+15	5.65845e+15	2.47615e+15	1.56668e+15	3.13336e+15	4.70005e+15	6.26673e+15	7.83341e+15	9.40009e+15	1.09668e+16	1.25335e+16	1.67447e+16	3.58455e+16	3.09708e+17	4.54031e+17	3.94407	3.85914	3.85914	3.85914	3.85914	3.85914	3.85914	3.85914	3.85914	3.85914	3.85914	3.82488	3.56854	4.68986	4.68986	
179169	6.85689e+17	2.78676e+17	1.21949e+17	7.71583e+16	1.54317e+17	2.31475e+17	3.08633e+17	3.85791e+17	4.6295e+17	5.40108e+17	6.17266e+17	6.90057e+17	7.38792e+17	3.35195e+17	8.59996e+15	6.19552e+15	5.65837e+15	2.47612e+15	1.56666e+15	3.13332e+15	4.69998e+15	6.26664e+15	7.8333e+15	9.39996e+15	1.09666e+16	1.25333e+16	1.67479e+16	3.58643e+16	3.09708e+17	4.54031e+17	3.94522	3.86042	3.86042	3.86042	3.86042	3.86042	3.86042	3.86042	3.86042	3.86042	3.86042	3.82618	3.56992	4.68986	4.68986	
179420	6.85689e+17	2.78676e+17	1.21949e+17	7.71583e+16	1.54317e+17	2.31475e+17	3.08633e+17	3.85791e+17	4.6295e+17	5.40108e+17	6.17266e+17	6.90052e+17	7.38762e+17	3.35195e+17	8.59995e+15	6.19545e+15	5.65829e+15	2.47608e+15	1.56664e+15	3.13327e+15	4.69991e+15	6.26655e+15	7.83318e+15	9.39982e+15	1.09665e+16	1.25331e+16	1.67512e+16	3.58831e+16	3.09709e+17	4.54031e+17	3.94638	3.86171	3.86171	3.86171	3.86171	3.86171	3.86171	3.86171	3.86171	3.86171	3.86171	3.82748	3.57129	4.68986	4.68986	
179672	6.85689e+17	2.78676e+17	1.21949e+17	7.71583e+16	1.54317e+17	2.31475e+17	3.08633e+17	3.85792e+17	4.6295e+17	5.40108e+17	6.17267e+17	6.90047e+17	7.38732e+17	3.35195e+17	8.59995e+15	6.19538e+15	5.65821e+15	2.47605e+15	1.56661e+15	3.13323e+15	4.69984e+15	6.26646e+15	7.83307e+15	9.39968e+15	1.09663e+16	1.25329e+16	1.67545e+16	3.5902e+16	3.09709e+17	4.54031e+17	3.94753	3.86299	3.86299	3.86299	3.86299	3.86299	3.86299	3.86299	3.86299	3.86299	3.86299	3.82878	3.57267	4.68986	4.68986	
179924	6.85689e+17	2.78676e+17	1.21949e+17	7.71584e+16	1.54317e+17	2.31475e+17	3.08633e+17	3.85792e+17	4.6295e+17	5.40109e+17	6.17267e+17	6.90041e+17	7.38701e+17	3.35195e+17	8.59995e+15	6.19532e+15	5.65812e+15	2.47601e+15	1.56659e+15	3.13318e+15	4.69977e+15	6.26637e+15	7.83296e+15	9.39955e+15	1.09661e+16	1.25327e+16	1.67578e+16	3.59209e+16	3.09709e+17	4.54031e+17	3.94868	3.86428	3.86428	3.86428	3.86428	3.86428	3.86428	3.86428	3.86428	3.86428	3.86428	3.83007	3.57404	4.68986	4.68986	
