Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
53556.6	4.87011	3.66335	3.80462	3.76585	3.75851	0.342997	1.66246	-7.97315	0.498291	-0.374149	0.203907	-32.8408	0	292.635	283.635	0.000171224	5.12569	3.31385e-05	9.34265e-06	1.09523	4.59428e-06	1.47958e-05	-0.0460269	0.0691949	8.5156	
53808.1	4.87195	3.66444	3.80576	3.76697	3.75961	0.343104	1.66298	-7.97117	0.499969	-0.37254	0.203885	-32.8404	0	292.637	283.637	0.000171278	5.1269	3.31676e-05	9.3269e-06	1.09632	4.59425e-06	1.47988e-05	-0.0459843	0.0692082	8.51529	
54059.5	4.8738	3.66552	3.80689	3.76807	3.76071	0.343212	1.6635	-7.96919	0.501666	-0.37092	0.203862	-32.8401	0	292.64	283.64	0.000171331	5.12809	3.31964e-05	9.3113e-06	1.09741	4.59422e-06	1.48017e-05	-0.0459399	0.0692215	8.51499	
54311.5	4.87569	3.66657	3.80802	3.76918	3.7618	0.343319	1.66403	-7.9672	0.503429	-0.369286	0.20384	-32.8397	0	292.643	283.643	0.000171385	5.12928	3.32252e-05	9.29579e-06	1.0984	4.59418e-06	1.48047e-05	-0.0458812	0.0692345	8.51468	
54562.6	4.87748	3.66766	3.80914	3.77027	3.76289	0.343426	1.66455	-7.96519	0.505105	-0.367646	0.203817	-32.8392	0	292.646	283.646	0.000171438	5.13043	3.32537e-05	9.28057e-06	1.09961	4.59417e-06	1.48077e-05	-0.0458498	0.0692474	8.51439	
54814.1	4.8793	3.66872	3.81026	3.77136	3.76397	0.343533	1.66507	-7.96317	0.506842	-0.365993	0.203795	-32.8388	0	292.648	283.648	0.000171492	5.13158	3.32821e-05	9.26544e-06	1.10074	4.59415e-06	1.48107e-05	-0.0458052	0.0692601	8.51409	
55065.6	4.88113	3.66977	3.81137	3.77244	3.76504	0.34364	1.66559	-7.96115	0.508596	-0.364328	0.203773	-32.8384	0	292.651	283.651	0.000171545	5.13271	3.33103e-05	9.25045e-06	1.10188	4.59412e-06	1.48137e-05	-0.0457596	0.0692726	8.51379	
55316.9	4.88293	3.67083	3.81247	3.77352	3.76611	0.343747	1.66611	-7.95911	0.510343	-0.362653	0.203751	-32.8379	0	292.654	283.654	0.000171598	5.13383	3.33384e-05	9.23563e-06	1.10306	4.59411e-06	1.48167e-05	-0.0457192	0.069285	8.51349	
55568.3	4.88474	3.67187	3.81357	3.77459	3.76717	0.343853	1.66663	-7.95706	0.512116	-0.360967	0.203729	-32.8374	0	292.656	283.656	0.000171652	5.13493	3.33663e-05	9.22094e-06	1.10423	4.59409e-06	1.48197e-05	-0.0456753	0.0692972	8.5132	
55819.8	4.88654	3.67291	3.81467	3.77566	3.76823	0.34396	1.66715	-7.95501	0.513903	-0.35927	0.203707	-32.8369	0	292.659	283.659	0.000171705	5.13602	3.33941e-05	9.20638e-06	1.10542	4.59407e-06	1.48227e-05	-0.0456312	0.0693093	8.5129	
56071.1	4.88832	3.67394	3.81576	3.77672	3.76928	0.344067	1.66768	-7.95294	0.515695	-0.357562	0.203685	-32.8364	0	292.662	283.662	0.000171758	5.1371	3.34217e-05	9.19196e-06	1.10663	4.59406e-06	1.48257e-05	-0.045589	0.0693212	8.51261	
56322.8	4.89014	3.67496	3.81684	3.77778	3.77033	0.344174	1.6682	-7.95086	0.517539	-0.355841	0.203663	-32.8359	0	292.664	283.664	0.000171812	5.13816	3.34493e-05	9.17763e-06	1.10778	4.59404e-06	1.48287e-05	-0.0455359	0.0693331	8.51232	
56573.9	4.89187	3.67599	3.81792	3.77882	3.77137	0.34428	1.66872	-7.94877	0.51932	-0.354113	0.203642	-32.8353	0	292.667	283.667	0.000171865	5.13921	3.34766e-05	9.16353e-06	1.10909	4.59404e-06	1.48318e-05	-0.0455039	0.0693447	8.51203	
56825.2	4.89364	3.67701	3.81899	3.77987	3.7724	0.344387	1.66924	-7.94667	0.521156	-0.352373	0.203621	-32.8347	0	292.669	283.669	0.000171918	5.14025	3.35038e-05	9.1495e-06	1.11033	4.59403e-06	1.48348e-05	-0.04546	0.0693562	8.51174	
57076.4	4.89538	3.67803	3.82006	3.78091	3.77343	0.344494	1.66975	-7.94456	0.522985	-0.350622	0.203599	-32.8341	0	292.672	283.672	0.000171971	5.14128	3.35309e-05	9.13562e-06	1.11162	4.59403e-06	1.48378e-05	-0.0454213	0.0693676	8.51146	
57327.7	4.89713	3.67903	3.82112	3.78194	3.77446	0.3446	1.67027	-7.94244	0.524843	-0.34886	0.203578	-32.8335	0	292.675	283.675	0.000172024	5.14229	3.35578e-05	9.12184e-06	1.11289	4.59403e-06	1.48409e-05	-0.045378	0.0693789	8.51118	
57579	4.89886	3.68003	3.82217	3.78297	3.77548	0.344706	1.67079	-7.94032	0.526703	-0.347088	0.203557	-32.8329	0	292.677	283.677	0.000172077	5.14329	3.35847e-05	9.1082e-06	1.1142	4.59403e-06	1.48439e-05	-0.0453375	0.06939	8.51089	
57830.6	4.90063	3.68101	3.82323	3.78399	3.77649	0.344813	1.67131	-7.93818	0.528627	-0.345302	0.203536	-32.8322	0	292.68	283.68	0.000172131	5.14429	3.36115e-05	9.0946e-06	1.11541	4.59402e-06	1.48469e-05	-0.0452829	0.069401	8.5106	
58081.5	4.9023	3.68202	3.82427	3.78501	3.7775	0.344919	1.67183	-7.93603	0.530468	-0.343511	0.203515	-32.8316	0	292.682	283.682	0.000172184	5.14526	3.3638e-05	9.08125e-06	1.11683	4.59404e-06	1.485e-05	-0.0452544	0.0694119	8.51033	
58332.7	4.90401	3.68301	3.82531	3.78602	3.77851	0.345025	1.67235	-7.93387	0.53237	-0.341707	0.203495	-32.8309	0	292.685	283.685	0.000172237	5.14623	3.36644e-05	9.06795e-06	1.11816	4.59405e-06	1.48531e-05	-0.0452124	0.0694226	8.51005	
58584	4.90571	3.68399	3.82635	3.78702	3.7795	0.345132	1.67287	-7.9317	0.534282	-0.339892	0.203474	-32.8302	0	292.687	283.687	0.00017229	5.14719	3.36907e-05	9.05477e-06	1.11951	4.59406e-06	1.48562e-05	-0.0451713	0.0694333	8.50978	
58835.2	4.90739	3.68496	3.82738	3.78803	3.7805	0.345238	1.67338	-7.92952	0.536207	-0.338066	0.203454	-32.8295	0	292.69	283.69	0.000172343	5.14814	3.3717e-05	9.0417e-06	1.12086	4.59407e-06	1.48592e-05	-0.0451297	0.0694438	8.5095	
59086.3	4.90906	3.68593	3.8284	3.78902	3.78149	0.345344	1.6739	-7.92734	0.538129	-0.336231	0.203434	-32.8287	0	292.692	283.692	0.000172396	5.14908	3.3743e-05	9.02876e-06	1.12226	4.59409e-06	1.48623e-05	-0.0450922	0.0694542	8.50923	
59337.4	4.91072	3.6869	3.82942	3.79001	3.78247	0.34545	1.67442	-7.92514	0.540069	-0.334386	0.203414	-32.828	0	292.695	283.695	0.000172448	5.15	3.3769e-05	9.01592e-06	1.12366	4.59411e-06	1.48654e-05	-0.0450528	0.0694645	8.50896	
59588.9	4.91242	3.68784	3.83044	3.791	3.78345	0.345556	1.67494	-7.92293	0.542079	-0.332526	0.203394	-32.8272	0	292.697	283.697	0.000172501	5.15092	3.37949e-05	9.00312e-06	1.12496	4.59412e-06	1.48685e-05	-0.0449977	0.0694748	8.50869	
59839.7	4.91402	3.68881	3.83145	3.79198	3.78442	0.345661	1.67545	-7.92072	0.543994	-0.330661	0.203374	-32.8264	0	292.699	283.699	0.000172554	5.15183	3.38206e-05	8.99056e-06	1.12649	4.59416e-06	1.48716e-05	-0.044972	0.0694848	8.50843	
60090.8	4.91565	3.68976	3.83245	3.79295	3.78539	0.345767	1.67597	-7.91849	0.545973	-0.328784	0.203354	-32.8256	0	292.702	283.702	0.000172607	5.15272	3.38462e-05	8.97805e-06	1.12792	4.59418e-06	1.48747e-05	-0.0449319	0.0694948	8.50816	
60341.9	4.91728	3.6907	3.83345	3.79392	3.78635	0.345873	1.67648	-7.91626	0.547968	-0.326896	0.203334	-32.8247	0	292.704	283.704	0.00017266	5.15361	3.38717e-05	8.96563e-06	1.12935	4.59421e-06	1.48778e-05	-0.0448907	0.0695047	8.5079	
60592.9	4.91888	3.69165	3.83444	3.79488	3.78731	0.345979	1.677	-7.91401	0.549954	-0.324999	0.203315	-32.8239	0	292.707	283.707	0.000172713	5.15449	3.38971e-05	8.95334e-06	1.13084	4.59425e-06	1.4881e-05	-0.0448548	0.0695144	8.50764	
60843.9	4.92048	3.69258	3.83543	3.79584	3.78826	0.346084	1.67751	-7.91176	0.551967	-0.323091	0.203296	-32.823	0	292.709	283.709	0.000172765	5.15536	3.39224e-05	8.94114e-06	1.13231	4.59428e-06	1.48841e-05	-0.0448151	0.0695241	8.50738	
61095	4.92207	3.69351	3.83642	3.79679	3.78921	0.34619	1.67803	-7.9095	0.553992	-0.321172	0.203277	-32.8221	0	292.711	283.711	0.000172818	5.15622	3.39475e-05	8.92904e-06	1.13379	4.59432e-06	1.48872e-05	-0.0447751	0.0695337	8.50712	
61346	4.92365	3.69443	3.8374	3.79774	3.79015	0.346295	1.67854	-7.90722	0.556023	-0.319243	0.203258	-32.8212	0	292.714	283.714	0.000172871	5.15707	3.39726e-05	8.91705e-06	1.1353	4.59436e-06	1.48904e-05	-0.0447369	0.0695431	8.50686	
61597.4	4.92525	3.69533	3.83837	3.79869	3.79109	0.346401	1.67906	-7.90494	0.558107	-0.317301	0.203239	-32.8202	0	292.716	283.716	0.000172923	5.15791	3.39976e-05	8.90511e-06	1.13673	4.59439e-06	1.48935e-05	-0.044687	0.0695525	8.5066	
61848	4.92677	3.69626	3.83934	3.79962	3.79202	0.346506	1.67957	-7.90265	0.560121	-0.315355	0.20322	-32.8193	0	292.718	283.718	0.000172976	5.15875	3.40224e-05	8.89338e-06	1.13834	4.59445e-06	1.48967e-05	-0.0446597	0.0695618	8.50636	
62099.1	4.92832	3.69717	3.8403	3.80056	3.79295	0.346611	1.68008	-7.90035	0.562193	-0.313395	0.203201	-32.8183	0	292.72	283.72	0.000173028	5.15957	3.40471e-05	8.88168e-06	1.13986	4.5945e-06	1.48998e-05	-0.0446195	0.0695709	8.50611	
62349.9	4.92984	3.69807	3.84126	3.80148	3.79387	0.346716	1.6806	-7.89804	0.564256	-0.311426	0.203183	-32.8173	0	292.723	283.723	0.000173081	5.16039	3.40717e-05	8.87011e-06	1.14144	4.59455e-06	1.4903e-05	-0.0445849	0.06958	8.50586	
62600.9	4.93137	3.69897	3.84221	3.80241	3.79479	0.346821	1.68111	-7.89573	0.56635	-0.309446	0.203165	-32.8163	0	292.725	283.725	0.000173133	5.16119	3.40962e-05	8.85862e-06	1.143	4.59461e-06	1.49062e-05	-0.0445452	0.069589	8.50561	
62851.8	4.93287	3.69986	3.84316	3.80332	3.7957	0.346926	1.68162	-7.8934	0.568444	-0.307457	0.203147	-32.8153	0	292.727	283.727	0.000173186	5.16199	3.41206e-05	8.84724e-06	1.14458	4.59467e-06	1.49093e-05	-0.0445084	0.0695979	8.50537	
63103.1	4.93442	3.70073	3.84411	3.80424	3.79661	0.347032	1.68214	-7.89106	0.570604	-0.305454	0.203129	-32.8142	0	292.729	283.729	0.000173238	5.16279	3.4145e-05	8.83589e-06	1.14607	4.59472e-06	1.49125e-05	-0.0444563	0.0696067	8.50512	
63353.7	4.93586	3.70163	3.84504	3.80514	3.79751	0.347136	1.68265	-7.88872	0.572675	-0.303448	0.203111	-32.8132	0	292.731	283.731	0.00017329	5.16356	3.41691e-05	8.82476e-06	1.14778	4.59479e-06	1.49157e-05	-0.0444324	0.0696154	8.50489	
63604.6	4.93734	3.70251	3.84598	3.80604	3.79841	0.347241	1.68316	-7.88637	0.574809	-0.301428	0.203093	-32.8121	0	292.734	283.734	0.000173343	5.16434	3.41931e-05	8.81366e-06	1.14938	4.59486e-06	1.49189e-05	-0.0443938	0.069624	8.50465	
63855.5	4.93881	3.70338	3.8469	3.80694	3.7993	0.347346	1.68367	-7.884	0.576952	-0.299398	0.203075	-32.811	0	292.736	283.736	0.000173395	5.16511	3.42171e-05	8.80267e-06	1.15101	4.59493e-06	1.49221e-05	-0.044356	0.0696326	8.50441	
64106.4	4.94026	3.70425	3.84783	3.80783	3.80019	0.347451	1.68418	-7.88163	0.579108	-0.297358	0.203058	-32.8099	0	292.738	283.738	0.000173447	5.16586	3.4241e-05	8.79177e-06	1.15264	4.595e-06	1.49253e-05	-0.0443177	0.069641	8.50417	
64357.2	4.94169	3.70511	3.84874	3.80872	3.80107	0.347555	1.68469	-7.87925	0.581259	-0.295309	0.203041	-32.8087	0	292.74	283.74	0.0001735	5.16661	3.42647e-05	8.78098e-06	1.15432	4.59507e-06	1.49285e-05	-0.0442838	0.0696494	8.50394	
64608	4.94312	3.70597	3.84966	3.8096	3.80195	0.34766	1.6852	-7.87686	0.583429	-0.29325	0.203023	-32.8076	0	292.742	283.742	0.000173552	5.16736	3.42884e-05	8.77028e-06	1.15599	4.59515e-06	1.49318e-05	-0.0442477	0.0696577	8.50371	
64859.3	4.94459	3.7068	3.85057	3.81048	3.80282	0.347764	1.68571	-7.87446	0.585672	-0.291177	0.203007	-32.8064	0	292.744	283.744	0.000173604	5.16809	3.4312e-05	8.7596e-06	1.15755	4.59522e-06	1.4935e-05	-0.0441945	0.0696659	8.50347	
65109.7	4.94595	3.70767	3.85147	3.81135	3.80369	0.347868	1.68622	-7.87206	0.587811	-0.289102	0.20299	-32.8052	0	292.746	283.746	0.000173656	5.16882	3.43353e-05	8.74915e-06	1.15936	4.59532e-06	1.49382e-05	-0.0441733	0.069674	8.50326	
65360.5	4.94734	3.70851	3.85237	3.81222	3.80455	0.347973	1.68673	-7.86964	0.590017	-0.287013	0.202973	-32.804	0	292.748	283.748	0.000173708	5.16954	3.43587e-05	8.73874e-06	1.16106	4.5954e-06	1.49415e-05	-0.0441363	0.069682	8.50303	
65611.4	4.94873	3.70935	3.85326	3.81308	3.80541	0.348077	1.68724	-7.86722	0.59224	-0.284913	0.202956	-32.8027	0	292.75	283.75	0.00017376	5.17025	3.43819e-05	8.72841e-06	1.16276	4.59549e-06	1.49447e-05	-0.044098	0.0696899	8.50281	
65862	4.95009	3.71018	3.85415	3.81393	3.80626	0.348181	1.68775	-7.86478	0.594452	-0.282806	0.20294	-32.8015	0	292.752	283.752	0.000173812	5.17096	3.4405e-05	8.7182e-06	1.16452	4.59559e-06	1.4948e-05	-0.0440656	0.0696978	8.50259	
66112.8	4.95145	3.71101	3.85503	3.81478	3.80711	0.348285	1.68825	-7.86234	0.59669	-0.280688	0.202924	-32.8002	0	292.754	283.754	0.000173864	5.17165	3.4428e-05	8.70806e-06	1.16625	4.59568e-06	1.49513e-05	-0.0440289	0.0697056	8.50237	
66363.6	4.9528	3.71183	3.85591	3.81563	3.80795	0.348389	1.68876	-7.85989	0.598941	-0.27856	0.202908	-32.7989	0	292.756	283.756	0.000173916	5.17234	3.44509e-05	8.69802e-06	1.168	4.59578e-06	1.49545e-05	-0.0439918	0.0697133	8.50215	
66614.4	4.95414	3.71265	3.85678	3.81647	3.80879	0.348493	1.68927	-7.85744	0.601196	-0.276422	0.202892	-32.7976	0	292.758	283.758	0.000173968	5.17303	3.44738e-05	8.68807e-06	1.16977	4.59588e-06	1.49578e-05	-0.0439567	0.0697209	8.50194	
66865.5	4.9555	3.71345	3.85765	3.81731	3.80963	0.348597	1.68978	-7.85497	0.603507	-0.274272	0.202876	-32.7962	0	292.76	283.76	0.00017402	5.1737	3.44965e-05	8.67817e-06	1.17146	4.59598e-06	1.49611e-05	-0.0439087	0.0697285	8.50172	
67115.9	4.95677	3.71427	3.85851	3.81814	3.81045	0.3487	1.69028	-7.85249	0.605741	-0.272118	0.20286	-32.7949	0	292.762	283.762	0.000174071	5.17437	3.45191e-05	8.66846e-06	1.17334	4.59609e-06	1.49644e-05	-0.0438853	0.0697359	8.50151	
67366.7	4.95808	3.71507	3.85937	3.81897	3.81128	0.348804	1.69079	-7.85001	0.608037	-0.26995	0.202845	-32.7935	0	292.764	283.764	0.000174123	5.17503	3.45416e-05	8.65879e-06	1.17512	4.5962e-06	1.49677e-05	-0.0438479	0.0697433	8.5013	
67617.3	4.95935	3.71587	3.86023	3.81979	3.8121	0.348907	1.69129	-7.84752	0.610321	-0.267775	0.202829	-32.7921	0	292.766	283.766	0.000174175	5.17569	3.45639e-05	8.64924e-06	1.17696	4.59632e-06	1.4971e-05	-0.0438164	0.0697506	8.5011	
67868.1	4.96063	3.71666	3.86108	3.8206	3.81291	0.349011	1.6918	-7.84502	0.612637	-0.265589	0.202814	-32.7907	0	292.768	283.768	0.000174226	5.17634	3.45862e-05	8.63975e-06	1.17878	4.59643e-06	1.49743e-05	-0.0437794	0.0697578	8.50089	
68118.7	4.96189	3.71745	3.86192	3.82141	3.81372	0.349114	1.6923	-7.84251	0.614952	-0.263394	0.202799	-32.7893	0	292.769	283.769	0.000174278	5.17698	3.46084e-05	8.63037e-06	1.18062	4.59655e-06	1.49776e-05	-0.0437455	0.069765	8.50069	
68369.8	4.9632	3.71821	3.86276	3.82222	3.81453	0.349218	1.69281	-7.83999	0.617337	-0.261186	0.202784	-32.7878	0	292.771	283.771	0.000174329	5.17761	3.46306e-05	8.62101e-06	1.18236	4.59666e-06	1.49809e-05	-0.0436949	0.0697721	8.50048	
68620.2	4.96439	3.71901	3.86359	3.82302	3.81533	0.349321	1.69331	-7.83746	0.619624	-0.258975	0.202769	-32.7864	0	292.773	283.773	0.000174381	5.17824	3.46525e-05	8.61187e-06	1.18433	4.5968e-06	1.49843e-05	-0.043675	0.069779	8.50029	
68870.9	4.96562	3.71978	3.86442	3.82382	3.81612	0.349424	1.69381	-7.83493	0.621978	-0.25675	0.202755	-32.7849	0	292.775	283.775	0.000174432	5.17886	3.46744e-05	8.60275e-06	1.18619	4.59692e-06	1.49876e-05	-0.043639	0.069786	8.50009	
69121.6	4.96683	3.72055	3.86525	3.82461	3.81691	0.349527	1.69432	-7.83239	0.62434	-0.254517	0.20274	-32.7834	0	292.777	283.777	0.000174484	5.17947	3.46962e-05	8.59373e-06	1.18807	4.59706e-06	1.4991e-05	-0.043604	0.0697928	8.49989	
69372.3	4.96804	3.72131	3.86606	3.8254	3.8177	0.34963	1.69482	-7.82983	0.626715	-0.252274	0.202726	-32.7819	0	292.778	283.778	0.000174535	5.18008	3.47178e-05	8.5848e-06	1.18996	4.59719e-06	1.49943e-05	-0.0435682	0.0697996	8.4997	
69622.9	4.96922	3.72207	3.86688	3.82618	3.81848	0.349733	1.69532	-7.82727	0.629083	-0.250022	0.202712	-32.7803	0	292.78	283.78	0.000174587	5.18068	3.47394e-05	8.57598e-06	1.19189	4.59733e-06	1.49977e-05	-0.0435372	0.0698063	8.49951	
69873.5	4.97039	3.72283	3.86769	3.82696	3.81926	0.349835	1.69582	-7.82471	0.63147	-0.247761	0.202698	-32.7788	0	292.782	283.782	0.000174638	5.18128	3.47609e-05	8.56724e-06	1.19381	4.59747e-06	1.50011e-05	-0.0435039	0.069813	8.49932	
70124.6	4.97162	3.72355	3.86849	3.82773	3.82003	0.349938	1.69632	-7.82213	0.633934	-0.245486	0.202684	-32.7772	0	292.783	283.783	0.000174689	5.18187	3.47823e-05	8.55851e-06	1.19562	4.59759e-06	1.50044e-05	-0.0434519	0.0698196	8.49912	
70374.8	4.97272	3.72432	3.86929	3.82849	3.82079	0.35004	1.69682	-7.81955	0.636285	-0.243209	0.20267	-32.7756	0	292.785	283.785	0.00017474	5.18245	3.48035e-05	8.55002e-06	1.19768	4.59775e-06	1.50078e-05	-0.0434346	0.069826	8.49895	
